,zipcode,population,5_years_or_less,5-9_years,10-14_years,15-19_years,20-24_years,25-34_years,35-44_years,45-54_years,55-59_years,60-64_years,65-74_years,75-84_years,85_years_or_more,households,"$9,999_or_less","$10,000-$14,999","$15,000-$24,999","$25,000-$34,999","$35,000-$49,999","$50,000-$74,999","$75,000-$99,999","$100,000-$150,000","$150,000-$199,999","$200,000_or_more",median_household_income,mean_household_income,gini
30069,90069,20132,303,233,216,213,954,5272,3553,4063,1466,1109,1416,1098,236,12551,6.5,4.5,5.3,8.2,9.2,13.9,13.6,15.1,8.6,15.0,78979,128939,0.20718542752867572
30072,90077,8844,433,656,601,436,428,548,1025,1386,572,593,1240,651,275,3341,1.4,1.5,2.3,4.8,5.1,9.1,8.0,12.2,12.1,43.4,164281,251632,0.13936681874740772
30076,90094,6858,610,423,122,337,548,1586,1634,832,165,227,280,66,28,3100,5.7,3.1,7.5,7.8,5.1,12.6,6.4,17.2,11.0,23.6,104367,131195,0.1961416193869024
30078,90201,102946,9193,9094,9049,9276,9043,15899,14801,12038,4709,3312,3892,1958,682,24107,7.1,6.8,16.1,15.7,19.6,18.3,8.7,6.1,1.3,0.3,37254,46076,0.19103354410031087
30079,90210,22052,960,1325,1254,1164,757,2733,2372,3397,1348,1331,2802,1441,1168,8398,7.9,4.5,4.5,3.0,4.0,7.0,6.6,14.5,8.9,39.0,145227,292359,0.1728575638687812
30080,90211,7530,233,313,493,413,431,1202,1073,998,616,424,615,458,261,3514,6.3,2.8,6.8,6.4,11.1,22.1,8.0,14.8,8.2,13.6,69638,122849,0.20681988651715755
30081,90212,12577,592,655,783,810,805,1877,1673,2130,587,685,1167,545,268,5716,8.4,2.9,4.2,3.7,7.5,13.2,11.8,19.7,9.5,19.1,92476,147968,0.19345616387681494
30082,90220,50715,4156,3989,3802,4472,4381,7262,6132,7032,2808,1820,2776,1464,621,13182,7.7,6.7,12.7,9.2,15.8,21.8,11.7,11.3,2.3,0.9,47882,56436,0.19825590933145182
30083,90221,54236,4586,4937,4511,5115,5233,8176,7505,6323,2429,1755,2343,1103,220,11886,7.9,5.1,13.8,14.7,16.3,19.3,10.9,8.5,2.9,0.7,41960,52311,0.20058553123830905
30084,90222,31875,2987,2504,3175,3057,2624,4665,3896,4012,1346,968,1548,581,512,7832,9.3,9.5,16.0,12.9,16.7,16.6,9.9,7.6,0.7,0.8,37881,46450,0.20772367368701677
30085,90230,31978,1600,1856,1992,1640,1818,5142,5043,4355,1883,1865,2924,1211,649,12915,5.1,4.1,9.0,7.0,9.1,15.9,12.9,19.5,8.6,8.8,74823,97146,0.20056639121575737
30086,90232,15708,880,620,713,820,1092,2580,2628,2106,932,1018,1248,588,483,6388,6.1,3.3,7.2,6.1,10.8,14.9,15.3,14.9,8.1,13.2,77004,105790,0.2041007122698562
30087,90240,26655,1707,1475,2003,1772,2245,3527,4346,3472,1686,1191,1737,954,540,7181,1.9,2.1,4.1,6.2,13.3,19.9,16.1,18.0,7.2,11.2,76907,99309,0.1795320979833175
30088,90241,43592,3076,2810,3113,3044,2920,6772,6695,5369,2966,1930,2637,1569,691,13440,4.3,4.5,8.2,11.2,15.2,20.7,14.7,13.2,4.3,3.7,57372,71443,0.19331102616560789
30089,90242,43160,2995,2933,3603,3279,3911,6441,6235,5622,2313,2097,2192,1004,535,12117,5.7,3.8,8.9,10.4,12.4,23.1,15.9,14.1,3.7,2.1,58669,67144,0.18662175011142473
30090,90245,16929,1135,745,1122,1228,877,2290,2514,3034,1322,977,880,572,233,6747,3.2,2.6,5.0,5.0,8.0,18.4,14.6,17.9,12.0,13.1,85727,112182,0.1808419926055653
30091,90247,48032,3273,3342,2892,2754,3039,7244,6721,6754,2874,2464,2881,2434,1360,16053,8.1,6.7,13.8,14.1,13.2,17.8,10.8,9.5,3.8,2.1,42926,57568,0.21623587589164583
30092,90248,10166,582,409,525,727,694,1135,1006,1590,726,703,972,805,292,3432,4.8,6.1,12.0,7.2,14.7,19.4,14.4,11.9,4.6,4.9,53306,70584,0.20631190424998208
30093,90249,26627,1745,1492,1873,1982,1898,3115,3564,3838,1626,1531,2360,1028,575,8739,7.5,4.5,8.6,11.5,16.3,17.7,9.3,16.9,4.4,3.4,51181,70957,0.20761997215913253
30094,90250,95939,6664,7426,7071,6368,7749,16496,13916,12103,5400,4203,5089,2552,902,31813,7.5,5.1,11.4,13.0,16.6,19.0,11.2,9.8,4.1,2.5,46172,61524,0.20902137388785433
30095,90254,19747,1151,1114,936,511,637,3891,3826,3060,1221,1150,1334,612,304,9197,2.7,2.4,3.5,3.0,5.9,14.0,13.5,16.2,15.2,23.6,111187,165341,0.16577269255507315
30096,90255,76180,6318,5847,5762,6291,7032,11800,10725,9212,3762,3405,3559,1893,574,18456,6.1,8.6,19.5,14.6,16.8,17.2,8.7,6.9,1.0,0.6,35917,46392,0.19908532909961782
30097,90260,35866,2835,2472,2596,2351,2773,5498,5591,5318,1631,1625,1914,883,379,10501,5.2,5.7,10.0,11.7,15.9,19.2,13.8,11.5,4.1,3.0,51648,65546,0.20098544474393534
30098,90262,71163,5950,6125,6071,6787,6053,11388,10347,8279,3200,2343,2660,1531,429,15134,7.2,6.1,12.4,12.8,19.3,20.0,10.3,8.7,2.5,0.7,43231,54635,0.19563096741010894
30100,90265,18258,608,766,1139,1411,992,1323,1754,3190,1942,1255,2084,1225,569,7206,4.3,2.8,6.4,3.8,5.2,9.9,7.5,18.0,10.8,31.3,123681,227428,0.1729525870396847
30101,90266,35603,2131,2564,2650,2027,1133,3459,5216,6350,2552,2120,3067,1573,761,13644,2.4,1.5,3.3,3.4,5.6,10.9,8.5,16.0,12.9,35.7,143527,214496,0.15175919166504245
30103,90272,23934,1436,1700,1822,1657,635,1206,2759,3932,1793,1783,2880,1603,728,9185,2.5,1.8,3.2,3.3,4.9,8.9,7.0,15.9,8.9,43.6,166021,301261,0.14332381671701916
30104,90274,25778,973,1492,1964,1734,790,1351,2341,4652,2139,1828,3245,2415,854,9442,3.0,0.6,3.0,3.3,4.4,10.4,9.1,13.8,10.9,41.4,157465,223270,0.14413090526101213
30105,90275,42593,1412,2540,3115,2936,1434,2471,4493,7470,3071,2821,5116,4004,1710,15861,3.0,1.4,4.2,4.7,6.0,11.6,10.0,19.7,15.2,24.2,118790,147656,0.16440861045130642
30106,90277,35178,2098,1442,1865,1446,1343,5275,5430,5923,2805,2139,3018,1466,928,16081,3.8,2.7,4.8,5.3,7.3,13.4,12.6,21.4,12.9,15.8,100080,125698,0.1788579558388345
30107,90278,40485,2845,3033,2072,1700,1744,5654,7865,6948,2561,1976,2466,1242,379,15430,2.1,3.2,5.1,5.9,8.0,11.9,11.1,20.4,15.8,16.5,107010,125197,0.1755924360498393
30108,90280,95350,7105,7455,7216,7886,8502,15143,13192,11525,5187,4185,4821,2274,859,23398,5.3,5.8,13.3,14.7,17.0,19.3,12.0,9.6,2.0,1.0,43552,54546,0.1927649665893904
30109,90290,6478,383,749,393,313,144,525,761,1583,479,277,518,298,55,2347,4.1,1.2,3.5,8.4,6.3,17.2,9.9,17.6,6.9,25.1,99505,140495,0.18455446335983405
30110,90291,27167,1414,1072,659,686,1732,6408,5514,3734,1339,1409,2021,817,362,13779,6.9,4.0,7.3,7.6,8.2,13.9,12.1,15.4,8.9,15.5,80111,118336,0.20949090107839072
30111,90292,21679,1033,503,355,489,1124,4753,4066,2541,1717,1578,2093,959,468,11963,4.7,3.3,5.2,5.7,7.1,13.2,10.2,22.7,10.3,17.4,100507,132672,0.18533176838810642
30112,90293,12458,441,225,267,100,833,3286,1896,1715,895,911,1154,479,256,6689,3.5,2.1,6.4,6.0,9.0,17.7,13.3,19.2,7.3,15.5,82055,121164,0.18875634109524633
30113,90301,36360,2683,2689,2233,2541,2906,6141,4658,4964,1972,1738,2492,957,386,12150,8.5,8.5,16.3,13.5,18.3,16.6,10.9,5.8,1.1,0.5,37424,47052,0.19957066010704444
30114,90302,30482,2497,2641,2008,1763,1703,5746,4504,3860,1739,1490,1534,724,273,10859,8.7,5.6,13.6,14.5,16.7,17.4,8.7,10.0,2.9,1.9,41426,55704,0.21361258038221168
30115,90303,26408,2142,2321,2026,2203,2142,4067,3434,3063,1416,1208,1559,574,253,7327,9.0,6.7,15.6,14.5,13.7,18.6,9.0,8.3,3.2,1.3,39671,53297,0.21499938130592045
30116,90304,26854,2200,2162,2647,2073,2464,4422,3458,3294,1673,1025,1019,253,164,6535,6.9,7.8,19.7,13.9,15.1,19.5,7.9,6.2,2.0,1.0,36412,48012,0.20578109879818957
30117,90305,15665,1012,797,814,845,1010,1670,2044,2295,1267,1295,1495,832,289,5854,5.8,4.2,6.1,10.6,12.9,18.6,15.0,15.4,7.1,4.3,65633,81169,0.19708982872546765
30118,90401,7297,120,79,56,165,604,2234,1112,949,499,226,607,417,229,4686,7.9,10.1,8.0,5.2,9.0,15.8,7.5,17.6,10.1,8.6,62703,93397,0.2223895855726741
30119,90402,11661,390,588,871,567,255,1042,1420,1652,915,1130,1642,895,294,5165,5.5,3.5,3.7,6.1,4.8,8.9,5.7,15.5,8.4,37.9,134638,245165,0.17136556739231124
30120,90403,24416,1155,891,658,507,1228,5800,3833,3391,1534,1503,2150,1207,559,13719,5.1,4.5,7.2,5.4,8.9,16.9,11.2,17.9,8.3,14.7,78151,111613,0.20168508017960235
30121,90404,22081,1193,781,636,1247,1832,4172,3960,3275,1149,937,1275,1009,615,9808,6.1,5.9,8.5,7.3,12.5,14.2,13.5,18.6,5.9,7.5,66623,84858,0.20847233838243043
30122,90405,28915,1298,1124,1047,1125,2163,5035,4736,4439,1846,1621,2659,1249,573,14254,6.3,8.2,6.1,5.4,8.7,13.8,10.9,17.1,9.4,14.1,77948,111561,0.21166118680624957
30123,90501,43145,2876,3014,2550,2915,3418,6330,6775,5714,2859,2137,2743,1254,560,14218,5.3,4.2,9.6,10.9,11.3,17.0,14.6,15.3,7.2,4.8,61536,78420,0.20397800335625682
30124,90502,17585,1104,953,821,883,886,2319,2326,2976,1165,934,1549,1200,469,5641,5.2,1.7,8.8,8.8,12.7,21.7,13.5,17.6,5.7,4.3,64232,75947,0.18957961367789086
30125,90503,45986,2886,2740,2716,2614,2985,5719,5921,7707,3135,2373,3613,2408,1169,17270,5.5,3.6,7.4,6.0,9.0,17.2,13.4,17.6,11.5,8.7,76431,94340,0.19626337110636666
30126,90504,33279,1685,1649,2020,2303,2453,3600,4877,6123,1923,1616,2682,1659,689,11465,4.1,3.5,7.4,7.5,12.9,15.5,14.7,18.5,9.5,6.4,73380,88034,0.1929631204847355
30127,90505,36904,1888,2270,2342,2187,1697,4294,4476,6104,2934,2033,2967,2258,1454,14195,3.3,3.3,6.4,7.7,8.4,14.2,12.7,22.1,10.8,11.1,86588,105771,0.1870324069378233
30129,90601,34203,1973,1805,2447,2430,2644,4759,5046,4732,1939,1709,2340,1584,795,11058,4.4,2.8,7.2,9.2,10.8,18.4,15.2,16.2,8.4,7.3,71366,89197,0.1945540548510764
30130,90602,27421,2053,1768,1926,2733,2572,4310,3681,3382,1187,1108,1478,748,475,8116,5.0,5.7,13.5,11.4,15.8,17.0,11.2,11.0,5.8,3.6,48109,66575,0.2131103940605369
30131,90603,20221,923,1496,1189,1602,1603,2330,2773,3030,1236,1050,1562,1003,424,6492,4.6,2.1,5.3,3.7,6.7,17.7,14.2,24.5,13.5,7.6,88862,101885,0.1712028101869276
30132,90604,40977,2875,2832,2456,2948,3003,6199,5286,5679,2663,2105,2746,1457,728,11940,4.2,4.5,8.0,8.9,11.2,20.7,14.7,18.6,6.5,2.6,65295,76686,0.18634754620566077
30133,90605,41643,2964,2709,3268,3146,3079,6478,5725,5542,2455,1822,2239,1550,666,10551,3.1,3.4,9.1,9.2,12.3,18.7,13.5,19.4,6.8,4.6,65952,84522,0.18991108671789242
30134,90606,32697,1772,2070,2113,2470,2639,4922,4732,4127,2074,1942,1968,1292,576,8539,3.9,4.4,8.0,9.8,13.0,20.2,15.9,15.6,6.1,3.1,64393,74385,0.1887415793222753
30136,90621,35245,2799,2770,2223,2013,2932,5487,5461,5248,2164,1222,1595,952,379,10039,5.8,4.5,10.7,9.7,13.1,19.2,14.7,11.2,6.0,5.2,56201,72946,0.20806821268150005
30138,90630,49145,2241,2497,3540,3466,3740,5297,6195,8763,3670,2765,3470,2815,686,15961,2.8,2.3,3.9,6.1,11.0,18.6,15.7,21.6,9.8,8.1,81889,99149,0.17413516083029631
30139,90631,69151,4883,4814,4412,4644,5072,10853,8569,9562,4210,3350,4581,2847,1354,21351,4.5,3.0,8.2,8.7,12.4,18.1,13.4,18.1,6.3,7.3,67797,90138,0.19703801665405
30140,90638,49819,2835,2706,2741,4038,5036,5883,5829,6665,3337,2529,4256,2750,1214,14517,3.5,4.0,8.3,5.7,11.7,15.1,14.5,20.4,10.2,6.6,78373,93475,0.1898219454396705
30141,90640,63521,4388,3295,3820,3988,5176,9451,8581,8031,3617,3710,4782,3158,1524,19826,4.0,7.0,15.4,12.3,14.6,17.5,10.5,12.1,3.7,2.7,45898,61824,0.2092836119037913
30142,90650,106659,7460,7294,7922,7718,9421,14852,14964,14667,6028,4700,6617,3335,1681,27225,4.8,4.1,8.0,7.9,14.9,22.7,16.2,15.7,4.1,1.6,59756,70046,0.1796190450313372
30143,90660,63815,4482,4280,4351,4629,4821,9265,8411,8075,3834,3242,4498,2853,1074,16594,5.0,4.9,9.4,9.5,15.1,21.4,14.9,14.7,3.6,1.4,55758,65675,0.18588305789855353
30144,90670,15998,935,1217,1118,1056,1253,2061,2022,1956,1059,1034,1009,844,434,4638,4.0,7.9,12.4,6.9,14.0,16.5,13.1,18.3,4.7,2.2,54674,70209,0.20023942562538577
30146,90701,16785,713,859,1122,1175,1396,2116,2658,2359,1299,876,956,853,403,4558,5.0,5.3,7.0,10.2,12.9,22.2,9.3,19.2,4.5,4.3,60749,74196,0.19649927318211008
30147,90703,50276,2069,2515,3113,3240,3235,5082,6437,7216,3714,3569,5794,2938,1354,15145,2.2,2.4,4.4,6.1,10.2,15.4,14.1,21.6,12.6,10.9,89720,108951,0.17516128559208113
30148,90704,3906,315,256,320,309,269,507,544,486,258,212,290,73,67,1340,2.8,3.9,9.9,10.6,16.0,18.4,8.5,17.3,5.2,7.3,60333,90788,0.20360910543130992
30149,90706,77756,5779,5678,6117,6482,6503,11273,10338,9907,4790,3648,4165,2124,952,23176,5.9,6.8,10.5,10.6,17.4,19.4,11.6,11.6,3.5,2.7,48823,63703,0.2042498995419111
30150,90710,27457,1633,1757,1839,1937,2352,3618,3634,3878,1693,1501,2187,979,449,8922,6.0,5.0,10.5,10.3,15.0,18.6,12.1,12.3,6.8,3.4,52294,68857,0.20786038972798726
30151,90712,32451,1708,2206,2123,2327,2242,3881,4519,5036,2558,1930,2115,1344,462,10605,3.2,2.8,4.5,7.0,12.2,16.6,15.9,24.5,7.9,5.5,80150,89259,0.1741136918972055
30152,90713,28699,1900,1643,1909,2071,1986,3113,4360,4569,2252,1409,1848,1126,513,9360,2.9,1.2,4.8,6.5,8.0,16.9,18.9,24.8,11.2,4.7,86543,96627,0.16224711236493317
30153,90715,19753,1280,1036,1305,1332,1702,2752,2979,3021,1320,1107,971,831,117,5865,2.7,3.2,6.3,11.2,15.4,18.8,17.0,17.3,5.2,2.9,63604,76786,0.17893412512546006
30154,90716,14382,1283,1049,1101,1042,1345,2194,2182,1511,677,576,837,423,162,3856,7.6,8.0,20.5,11.5,19.1,17.5,8.3,6.3,0.9,0.4,37543,45240,0.19822409118574671
30155,90717,21816,1296,1132,1139,1282,1303,3082,3334,3763,1794,1112,1227,923,429,8536,7.6,6.5,9.4,9.4,11.2,19.3,11.2,14.2,5.9,5.2,56103,72851,0.21571131325805107
30157,90723,55023,4118,4568,5102,5337,4632,7709,8543,6688,2777,1826,2416,885,422,13844,6.2,6.2,12.1,12.7,16.5,20.0,12.4,11.3,1.3,1.0,45792,55684,0.1917003545303595
30158,90731,62028,4130,3911,4086,4494,4483,8877,8574,9559,4197,3261,3848,1833,775,22189,6.8,6.8,12.5,10.2,12.9,17.1,11.2,13.0,5.7,3.9,50879,67148,0.21842368969624776
30159,90732,21417,1111,1396,1082,978,1051,2572,2443,3439,1712,1296,2038,1527,772,8431,2.6,3.4,7.4,7.8,9.0,13.3,14.4,21.8,10.4,9.8,84679,103011,0.1865284824152046
30163,90744,57963,5308,5161,4970,4831,5311,8737,7587,6948,2817,1930,2438,1519,406,14272,6.8,6.4,15.8,13.5,14.2,19.1,11.2,8.7,2.9,1.4,41569,56234,0.2065563000228676
30164,90745,58186,3421,3154,3701,4133,4768,8246,7031,8742,3666,3054,4522,2755,993,15126,3.5,4.4,9.3,6.7,10.1,18.7,16.0,20.3,6.6,4.4,71443,82038,0.18676854838709678
30165,90746,26523,1497,1365,1502,1560,1892,3584,3180,3758,1724,1601,2801,1558,501,8047,3.1,1.9,8.0,6.6,10.0,18.4,15.7,24.5,7.3,4.4,77260,86772,0.17378941552776966
30167,90755,11440,919,679,804,909,1029,1596,1767,1670,718,478,517,251,103,4028,6.2,4.3,9.3,6.7,15.3,15.7,15.9,13.9,5.8,7.0,65935,80285,0.2074124636745237
30168,90802,39155,2323,1352,1653,1425,3101,8826,6537,5412,2445,2372,2289,1029,391,20636,9.8,9.1,12.8,10.8,12.8,16.3,10.9,10.1,3.2,4.2,42829,62871,0.2312109966930386
30169,90803,31709,744,1157,1098,970,1561,6847,4305,4791,2317,2195,3714,1400,610,16995,4.0,2.5,6.5,7.6,10.1,19.1,12.5,17.3,9.0,11.4,75197,111890,0.19392333973948325
30170,90804,41007,2809,2670,2198,2950,4995,7956,5881,5536,2103,1493,1438,673,305,14682,9.0,7.4,13.7,9.5,15.9,19.4,10.8,8.5,3.2,2.4,44877,57190,0.2155445616991088
30171,90805,95127,8321,7631,7044,8155,9286,14071,12516,12569,4779,3887,4511,1690,667,26108,8.6,7.2,13.6,10.0,15.9,17.3,13.2,10.1,3.0,1.2,44815,57370,0.208851386288669
30172,90806,42498,3114,3284,3256,3777,3214,6232,5984,6024,1951,1844,2168,1288,362,12403,7.6,8.4,14.4,12.2,11.1,20.2,8.9,9.8,5.0,2.2,44144,58122,0.22059090521286584
30173,90807,33763,2188,1733,1956,1825,1932,4917,4489,5125,2928,1988,2691,1286,705,12677,3.4,3.3,8.1,5.9,12.8,18.1,14.4,16.7,8.2,9.0,72010,94533,0.19396114327883743
30174,90808,39428,2119,2316,2619,2554,2018,3735,6117,6498,3231,2338,2920,1914,1049,14119,2.6,2.1,5.1,4.2,8.8,13.4,15.6,24.4,12.0,11.9,96360,113856,0.1701856606801501
30175,90810,36936,2838,2611,2804,3331,2900,5030,4934,4582,1755,2043,2329,1306,473,9179,6.4,6.5,12.6,11.7,13.1,17.2,13.9,12.7,3.5,2.4,49517,62513,0.2075549340390553
30176,90813,60078,6018,5280,5004,5302,5374,10117,8136,6369,2679,2019,2412,966,402,16575,8.8,12.6,18.2,16.6,16.7,14.0,6.8,4.4,1.4,0.5,30936,40515,0.20950649784417327
30177,90814,19264,834,869,839,931,1390,3937,3580,2824,965,1025,1295,502,273,9263,6.3,4.9,9.2,10.2,13.1,19.1,11.6,12.2,7.8,5.6,55116,75982,0.21235914451799331
30178,90815,40462,2307,1865,1996,3903,3895,4377,5419,5830,2696,2310,3045,1713,1106,14479,4.9,3.0,6.0,7.6,8.2,18.2,14.0,19.0,10.2,8.9,78137,96996,0.19087057035871277
30181,91001,37163,1942,2055,2082,2604,2333,3989,4822,6257,2965,2339,3401,1669,705,12725,3.9,2.9,7.9,5.1,8.2,15.5,13.4,17.9,10.2,14.9,86310,118031,0.19205125682522506
30182,91006,31728,1281,1583,2567,2136,1959,3153,4037,5457,2595,2133,2401,1493,933,10435,4.2,2.7,8.6,7.3,8.4,13.7,10.6,18.8,9.8,15.8,83986,118332,0.1976722804944108
30183,91007,34598,1125,1772,2622,2076,2049,3211,4631,6202,2494,1958,3327,1828,1303,11808,6.0,5.5,7.6,8.9,9.9,14.0,10.6,17.7,9.9,9.8,71557,96297,0.2103176906539941
30184,91008,1132,33,16,20,30,64,80,74,171,72,75,206,107,184,468,5.8,3.2,3.8,5.3,7.1,16.0,14.3,15.4,12.2,16.9,90000,145260,0.18990676652892563
30185,91010,25840,1362,1343,1728,1751,1909,3481,3238,3614,2030,1277,2074,1253,780,7875,5.6,4.6,10.3,8.7,11.6,18.6,12.0,17.7,7.2,3.5,60793,75029,0.20090929203539826
30186,91011,20721,972,1248,1546,1953,1447,1307,2007,3577,1884,1334,1921,1139,386,6604,1.7,1.3,3.9,4.0,5.0,7.1,6.2,18.2,13.2,39.4,156933,223576,0.14018065429062365
30187,91016,42090,3157,2547,2174,2483,2469,6653,5908,6383,2853,2595,3035,1275,558,14476,4.7,3.4,8.6,7.3,10.9,18.1,11.9,20.2,6.9,8.0,70307,93215,0.1972548959519015
30188,91020,8438,303,520,733,456,512,1238,1106,1312,734,385,600,307,232,3216,2.8,4.9,7.4,8.3,14.6,18.6,10.2,24.3,4.8,4.0,69067,79710,0.1853123789567261
30189,91024,11084,624,791,677,331,313,1022,1637,1881,856,1009,1243,500,200,4538,2.6,3.3,6.9,4.5,8.6,13.7,14.3,18.5,9.8,17.7,92384,124192,0.1856961936910721
30190,91030,25967,1511,1627,1820,1698,972,3569,4235,3966,1617,1522,1965,997,468,10260,4.2,1.9,6.8,5.4,10.8,19.1,13.1,14.9,9.7,14.4,79089,113922,0.19456041007467406
30191,91040,19969,1235,832,851,923,1217,2462,2511,3781,1689,1392,1800,874,402,7085,4.2,5.1,8.2,8.4,10.8,15.1,14.9,18.1,7.7,7.6,71411,86844,0.20059060660731706
30192,91042,27298,1005,1350,1611,1463,1794,4310,3386,4001,2408,2181,2270,1069,450,9977,6.4,6.7,7.8,11.1,14.1,16.2,12.5,13.6,6.3,5.2,58020,74316,0.21355576330459475
30194,91101,20936,1125,542,640,991,1776,5844,3042,2142,932,805,1160,1113,824,10803,9.7,8.8,8.1,6.0,9.3,17.6,13.1,16.6,6.0,4.8,61180,74233,0.21788700817139328
30195,91103,27819,1357,1598,2012,1920,2290,3944,3801,3886,1815,1483,1863,1079,771,8324,5.9,5.7,11.3,8.9,10.5,14.5,12.0,13.4,6.4,11.4,62037,100377,0.22262969715232797
30196,91104,38976,2717,2332,2053,2046,2445,6147,5690,5661,2388,2184,2968,1802,543,12964,4.9,4.6,9.8,5.4,11.7,14.8,11.5,17.4,8.5,11.4,71429,98374,0.20724439896000443
30197,91105,11413,516,380,430,325,375,1533,1510,1662,996,701,1671,927,387,5354,3.9,3.4,4.1,5.3,7.7,12.9,9.9,14.0,13.6,25.3,107209,165505,0.18176096722770843
30198,91106,25243,1354,785,1142,1502,2263,5503,4227,3052,1217,1384,1544,845,425,10578,6.7,4.1,6.0,7.3,9.2,16.8,13.9,17.4,6.6,11.9,74756,115974,0.20415464574786563
30199,91107,31722,1877,1656,1364,1617,1316,4699,4715,4428,2211,2390,2938,1684,827,12406,5.3,4.2,5.0,6.6,9.3,14.8,12.2,18.7,9.1,14.8,83904,116739,0.19730825492409987
30200,91108,13654,744,963,1054,744,673,886,1586,2278,1265,945,1306,792,418,4646,6.2,1.4,3.7,3.8,5.0,6.8,10.7,16.6,11.9,34.0,134286,213139,0.16362592845162835
30201,91201,23092,1045,985,1090,1100,1430,3795,3347,3278,1990,1655,1518,1442,417,8183,5.1,6.5,16.3,9.6,13.1,16.7,10.1,12.9,4.5,5.2,49215,71011,0.22122589040077328
30202,91202,23148,783,981,1209,973,1437,3698,3260,2998,1758,1675,2330,1347,699,8716,4.6,5.8,13.5,6.1,12.1,14.0,11.6,16.4,7.6,8.2,63037,86859,0.21499430401182304
