,zipcode,population,5_years_or_less,5-9_years,10-14_years,15-19_years,20-24_years,25-34_years,35-44_years,45-54_years,55-59_years,60-64_years,65-74_years,75-84_years,85_years_or_more,households,"$9,999_or_less","$10,000-$14,999","$15,000-$24,999","$25,000-$34,999","$35,000-$49,999","$50,000-$74,999","$75,000-$99,999","$100,000-$150,000","$150,000-$199,999","$200,000_or_more",median_household_income,mean_household_income,gini
30203,91203,13680,507,943,713,596,848,2280,2264,2028,832,776,1082,575,236,4812,4.0,8.7,15.4,13.5,14.5,13.0,11.2,11.8,4.9,2.8,41400,62214,0.21814836771154783
30204,91204,17053,1038,757,839,679,1435,2994,2335,2544,1065,1021,1003,923,420,5824,7.2,9.2,15.8,9.0,17.5,17.8,10.9,7.9,2.4,2.1,42277,53496,0.21299767333643554
30205,91205,38322,1966,1713,2049,2145,3035,5869,5305,5524,2582,2151,3099,1850,1034,14193,5.7,12.2,18.8,11.8,14.0,15.1,9.3,8.8,2.9,1.6,36971,51949,0.22227524351432154
30206,91206,34038,1721,1371,1385,1405,1910,5538,4473,5031,2546,2070,3424,2245,919,12925,4.8,7.3,12.6,10.0,12.8,14.6,11.9,12.3,6.8,6.9,52277,77591,0.22224554871031074
30207,91207,10359,523,410,472,570,495,1106,1256,1476,1093,836,975,711,436,3962,1.9,5.0,11.1,5.7,8.1,12.1,10.6,16.8,10.1,18.7,89333,128509,0.20010382786495484
30208,91208,17164,1576,1112,766,900,674,1981,2600,2497,1373,1277,1287,866,255,5847,3.9,3.0,5.8,5.6,6.9,12.7,10.5,20.7,13.7,17.3,103860,123682,0.18234367936983906
30209,91210,727,63,36,193,30,48,34,234,66,6,11,0,6,0,258,3.9,9.3,4.7,0.0,15.1,0.0,5.8,5.0,15.9,40.3,158162,188641,0.17258669077757685
30210,91214,30965,1690,1667,2063,2270,1657,3297,4307,5333,2567,1720,2468,1171,755,10453,3.8,2.0,4.9,6.7,7.7,15.7,17.2,19.1,11.4,11.5,87612,106358,0.18074996265126236
30211,91301,26293,1169,1303,2124,1888,1308,2735,3167,4960,2398,1784,2442,668,347,9246,1.8,1.3,3.8,4.9,6.6,16.4,9.4,20.7,14.1,20.9,114417,140838,0.1650777711129956
30212,91302,25431,925,1935,2103,2065,1598,1639,3219,4361,2224,1596,2394,1163,209,9135,5.8,2.3,3.4,4.8,9.3,9.2,8.8,17.6,8.7,30.1,114688,183557,0.18009016130326616
30213,91303,29471,2231,2139,1881,1795,2586,6296,4545,3580,1541,926,1220,610,121,9466,5.9,6.7,11.7,15.4,13.1,17.3,13.4,11.8,3.4,1.2,45793,58928,0.20212303253998554
30214,91304,53853,3241,3392,4249,3474,3454,7711,7868,7996,3357,2326,3545,2167,1073,16999,6.0,4.5,9.9,10.0,11.8,17.9,12.5,15.2,7.4,4.7,61339,78105,0.20709598370780896
30215,91306,49532,3024,3230,2455,2804,3975,8159,7493,6759,3432,2967,2945,1637,652,14447,4.4,5.1,8.2,10.9,12.4,17.6,14.9,18.7,4.9,2.9,61529,74726,0.19189149096902688
30216,91307,26219,1141,1512,1769,2013,1476,2220,3434,4806,1959,1615,2220,1559,495,8581,2.3,1.9,6.1,6.4,7.5,12.7,13.0,22.5,12.2,15.3,100075,122271,0.17609183696821293
30217,91311,38505,1565,1611,2158,2381,2391,4831,4876,6344,2991,2851,3710,1963,833,13715,4.5,3.5,6.1,6.5,10.4,15.7,15.0,18.8,8.7,10.9,80593,105871,0.19333213256484152
30218,91316,28837,1440,1241,1450,1329,1586,5344,3875,3462,1702,2467,3024,1339,578,12335,7.1,4.9,9.1,8.2,10.7,19.0,10.2,12.8,8.5,9.5,61539,98232,0.21810833788789702
30220,91321,34178,2387,2784,2288,2596,2634,5034,4204,4290,2028,1468,2281,1171,1013,10973,4.7,4.5,9.6,9.1,14.6,16.9,12.1,16.0,6.1,6.4,59549,83203,0.20601551328092138
30221,91324,28497,1850,1264,1734,2039,2829,4201,3518,3338,1653,1802,2050,1593,626,9552,9.1,4.9,6.4,9.4,11.0,18.4,10.7,14.8,7.7,7.7,61958,82754,0.217076160815402
30222,91325,33197,1712,1533,1755,2600,4239,4933,3734,4521,1820,1763,2161,1687,739,11775,9.8,3.9,6.6,8.3,11.6,18.8,13.0,12.8,6.3,8.8,60774,84862,0.21695874331635398
30223,91326,36921,1953,2231,2257,2606,1710,3594,5149,5575,2668,2671,3645,1997,865,12357,5.0,2.4,4.2,5.1,7.7,12.4,12.1,22.8,12.2,16.2,101073,124058,0.17967641188478117
30225,91331,102266,7870,7712,6929,7999,8975,17067,13862,13262,5246,4287,5160,2988,909,22406,5.0,5.8,11.8,11.1,14.1,21.0,15.2,12.0,2.9,1.2,51986,61216,0.19022394533327885
30226,91335,78230,5058,4622,4493,5372,6754,11135,11075,11945,4477,4296,4116,2985,1902,23433,7.1,7.2,12.2,10.0,12.4,16.7,12.8,13.7,4.9,3.0,51206,66034,0.21448264857634244
30227,91340,35481,2630,3030,2532,2616,2809,6368,5097,4044,1884,1382,1917,750,422,8341,4.8,7.1,11.3,9.6,13.2,22.6,11.6,14.6,3.3,1.8,54182,64743,0.19581684276680153
30228,91342,93466,6105,6113,7362,8095,7583,12725,13942,12038,5472,4356,5543,2989,1143,24189,4.3,4.5,9.8,8.3,15.3,18.4,14.5,16.8,5.8,2.4,60361,72201,0.19153653692023553
30229,91343,64149,4824,4776,4633,4570,5414,9667,9126,8845,3743,2784,3154,1852,761,17294,5.9,5.7,10.9,10.8,12.5,16.7,11.9,14.6,6.2,4.8,55956,75194,0.2130353292996731
30230,91344,54566,2680,2893,3558,3785,3749,6320,7009,8858,3727,3308,4884,2454,1341,17049,2.5,3.3,6.3,7.4,11.1,15.9,15.3,20.1,9.6,8.5,79680,98765,0.1850401754290974
30231,91345,18276,1001,946,992,1139,1711,2319,2436,2678,1384,889,1501,904,376,5125,6.2,2.8,8.0,10.2,11.4,22.4,15.5,15.2,5.8,2.5,61728,75151,0.1889054930117458
30232,91350,36520,2439,2634,2694,2792,2293,4204,5448,6026,2515,1787,2382,836,470,11272,2.4,1.7,4.0,3.8,8.7,13.9,15.2,26.1,13.5,10.6,100387,113590,0.1620388173070202
30233,91351,33071,1960,2029,2707,2820,2403,4359,4680,4950,2155,2027,1878,851,252,10113,3.3,3.5,7.4,8.9,12.2,18.6,15.5,18.7,7.8,4.2,68197,83380,0.18601094958243117
30234,91352,47543,3218,2816,3247,3651,3911,7879,6012,6014,3258,2602,2793,1454,688,12270,5.2,6.2,13.1,9.0,15.1,19.7,12.4,12.4,4.3,2.8,51154,64790,0.20503693533415837
30235,91354,29340,2043,2450,2332,2203,1516,2859,4651,5100,2153,1412,1675,762,184,9659,1.8,1.7,4.2,3.1,5.3,11.2,14.6,26.8,15.0,16.3,112524,128798,0.15397575023999335
30236,91355,34188,1732,2373,2454,2404,2278,4341,4628,5565,2149,1843,2474,1131,816,12700,3.4,3.5,3.3,5.8,7.1,17.5,18.3,18.4,11.2,11.5,88861,106771,0.1783000944944547
30237,91356,29467,1623,1384,1795,1646,1437,3981,4101,4509,1722,1967,2572,1614,1116,11259,6.8,4.3,7.5,7.0,12.0,15.6,11.4,14.9,7.7,12.8,68078,110939,0.21326456642400918
30239,91361,20831,806,900,1335,1673,852,1712,2072,3223,1901,1661,2717,1422,557,8539,4.1,2.0,4.2,5.7,7.3,10.7,13.0,19.5,10.8,22.6,104807,156405,0.17757888138042421
30240,91362,35546,1237,2396,2333,2640,1781,3346,4167,6417,2915,2582,3425,1579,728,13592,3.7,2.5,5.9,3.7,7.2,11.2,13.3,20.0,12.2,20.4,103958,139324,0.1776451925562161
30241,91364,27100,1774,1667,1369,1470,1462,2847,3790,3999,1932,1935,2400,1622,833,10243,4.8,2.2,5.7,8.0,8.2,12.2,12.2,18.7,12.3,15.8,92830,121929,0.19085228993186984
30242,91367,42578,2246,2443,2190,2362,2210,6400,5952,6161,2913,2777,3770,1970,1184,17489,6.2,2.7,5.0,6.0,9.6,18.4,11.1,17.3,10.3,13.5,80083,107372,0.19669959780063132
30244,91377,15087,904,860,1600,1268,643,1170,1943,2805,1534,925,956,342,137,5388,3.1,1.3,2.5,5.1,5.1,11.4,11.3,22.5,9.7,28.0,120696,154055,0.1604657530266344
30245,91381,20405,1156,1689,2370,1732,947,1747,3254,4210,1052,743,927,407,171,6540,2.2,1.5,1.8,3.6,7.7,11.3,11.7,23.2,12.9,24.0,114610,154109,0.15595029457973292
30246,91384,29788,1331,1701,2487,2615,2897,4688,4475,4995,1663,1275,978,416,267,7060,2.2,1.7,3.4,5.5,7.3,15.4,13.7,29.2,13.4,8.2,101505,109780,0.15777666357385864
30247,91387,43502,3136,3446,3455,3446,2550,6408,6194,6648,2728,1859,2475,885,272,13470,3.9,2.4,3.6,6.5,9.5,17.3,18.1,20.4,10.3,7.9,82745,99864,0.1760410355712353
30248,91390,20473,1081,1286,1918,1704,987,1656,2853,3785,1988,1087,1319,657,152,6420,2.2,1.2,3.8,4.0,8.5,12.5,14.7,21.2,15.3,16.5,106374,124234,0.16401861456024447
30249,91401,41217,2858,2059,2537,2389,2820,7573,6558,5618,2727,1934,2299,1252,593,14904,5.5,8.4,11.2,10.5,14.1,16.8,10.6,12.8,5.4,4.7,50418,68812,0.2189825493729543
30250,91402,71894,6068,5489,5708,5558,5775,11779,10163,9103,3381,3163,3208,1837,662,18662,6.6,8.8,16.2,15.6,15.2,15.8,8.9,9.1,2.8,0.9,37190,50677,0.21180371146071797
30251,91403,24613,1449,1155,821,742,1223,4198,4180,3730,1625,1356,2149,1283,702,11336,4.2,5.3,6.2,7.7,11.7,11.7,12.4,17.2,8.7,14.9,80890,125177,0.20407239871382635
30252,91405,53347,3968,4003,3418,3656,4288,8648,7879,7581,3088,2280,2509,1382,647,16953,7.5,7.9,15.9,13.6,17.5,14.8,10.6,7.4,2.8,2.1,39013,53494,0.21672553372378617
30253,91406,54364,4547,3492,3614,3537,3303,8883,8766,7088,2892,2642,3199,1606,795,17749,6.1,7.5,11.5,10.4,14.5,17.7,11.7,12.9,4.2,3.5,49835,66396,0.21282354754199412
30254,91411,25370,1955,1858,1143,1495,1865,4763,3992,3528,1240,1059,1361,636,475,9520,6.7,7.7,14.7,11.2,13.0,16.4,10.5,11.8,3.9,4.2,45667,66209,0.22377794957183633
30255,91423,33347,2197,1402,1608,1057,1658,6631,6147,4543,2311,1701,2471,1177,444,15184,4.3,2.2,7.4,6.7,10.2,17.3,11.5,16.1,9.3,14.9,79028,121304,0.19758940531763755
30256,91436,13970,723,802,870,761,568,1063,1676,2097,1054,1170,1635,781,770,5382,3.9,1.3,5.2,3.3,6.0,6.7,8.6,20.1,8.0,36.9,135585,201420,0.15823910529739108
30257,91501,20855,1264,1249,869,1233,1173,3865,3011,3039,1110,1063,1683,1023,273,7760,5.3,4.3,11.7,11.6,11.8,15.4,13.9,12.3,6.9,6.7,60158,78942,0.21467503820344164
30258,91502,12011,528,543,657,734,638,2789,1449,1426,386,641,707,1089,424,5241,9.7,14.0,14.6,7.6,10.8,16.4,9.8,10.8,4.3,2.1,40057,56228,0.23568601853502047
30259,91504,25469,1603,1366,1304,1740,1544,3717,3823,3746,1908,1131,1757,1378,452,9314,2.9,2.4,8.2,7.9,13.0,18.8,13.0,15.3,10.1,8.4,70608,92052,0.1942391526288923
30260,91505,31273,1822,1744,1837,1422,1942,5313,5416,4801,1840,1434,2159,1059,484,12978,6.6,3.5,5.9,7.5,9.7,15.8,17.3,18.9,8.7,6.2,76357,88658,0.1933477292051485
30261,91506,18272,1371,882,853,868,694,2168,2929,2990,1321,1082,1827,769,518,7208,5.0,4.4,7.0,6.0,12.4,17.9,13.4,17.5,8.7,7.6,71495,89820,0.19749281026688062
30262,91601,38754,2019,1791,1529,1293,3962,10135,6928,4711,1817,1531,1678,973,387,16615,6.0,8.9,10.4,10.1,15.7,19.0,10.4,10.9,5.3,3.4,48499,64510,0.21550019470404977
30263,91602,18304,1046,512,728,437,856,4215,3363,3047,1274,961,1284,335,246,9276,4.7,3.4,8.4,10.2,10.5,16.9,13.5,16.8,5.7,9.8,65920,92651,0.20433601300428555
30264,91604,30269,1727,1618,1310,1038,1578,5530,5163,4911,1729,1746,1910,1397,612,14297,4.3,2.8,6.7,5.7,8.1,14.1,12.5,16.9,8.0,20.9,90801,136128,0.193403191563012
30265,91605,55665,3299,3590,3735,4197,4861,9062,7822,7712,3160,2698,3393,1432,704,15694,8.5,7.9,15.5,10.9,14.8,17.2,10.6,9.7,2.5,2.3,42254,55959,0.21839408064443133
30266,91606,44773,2594,2646,2646,2807,3684,7808,6014,6585,2859,2147,2637,1656,690,15197,6.5,8.0,16.3,11.7,15.3,17.2,9.9,8.9,3.9,2.4,41498,56899,0.21848377736744926
30267,91607,30231,1646,1565,1399,1181,2108,5982,4679,4099,2090,1804,2157,910,611,13354,7.7,5.2,11.6,10.8,11.6,17.3,9.4,13.1,4.5,8.8,53531,82535,0.22722549482415622
30270,91702,61170,3912,4175,4038,6159,7813,9455,7620,7269,2848,2613,3255,1422,591,14794,4.6,4.1,10.9,10.6,14.4,19.9,14.1,14.2,4.6,2.6,55651,68586,0.19437393752069768
30271,91706,77877,5126,5150,5807,6556,6916,11425,10532,10652,4460,3465,4772,2165,851,18010,5.1,4.8,10.0,12.3,15.5,21.8,14.6,10.8,3.2,1.8,51706,62112,0.18930616197893552
30272,91708,3445,201,164,138,189,265,681,657,636,111,124,158,121,0,369,0.0,0.5,5.4,1.9,1.1,24.7,6.8,36.3,21.4,1.9,120284,112728,0.12542626498379822
30275,91711,36651,1251,2035,2606,4032,3346,3489,4207,4441,2353,2392,3487,1884,1128,11922,4.1,2.2,5.6,6.9,10.6,14.0,11.1,19.4,11.3,14.8,89161,116629,0.18976410076638536
30276,91722,35798,2691,2087,2418,2647,3247,4807,5026,5218,1946,1741,2586,1048,336,10022,2.7,2.6,8.3,7.0,14.6,19.9,18.5,19.3,5.2,1.9,66512,77932,0.17051752066115702
30277,91723,19428,1491,1428,1524,1512,1162,2965,2607,2702,962,1042,1051,543,439,6168,2.2,4.3,10.4,10.2,14.5,20.6,13.9,14.0,6.5,3.3,60911,74146,0.19101205358680304
30278,91724,26479,1333,1787,1822,2086,1993,3321,2984,4166,1888,1319,1939,1357,484,8084,4.8,2.4,6.3,6.0,10.7,19.2,12.0,24.2,8.6,5.8,76065,90612,0.18188663423739354
30280,91731,30418,1440,2175,1839,2237,2188,4680,4209,3809,1670,1743,2482,1285,661,8692,4.4,9.3,22.1,13.9,17.5,16.1,7.4,6.8,1.7,0.8,35120,46449,0.20293973107091406
30281,91732,62872,4621,4063,4217,4524,4911,9304,8993,8244,4201,2905,3887,2260,742,16430,5.8,6.5,16.4,14.0,16.6,17.5,10.4,8.0,3.0,1.8,41020,55784,0.20775245615645943
30282,91733,44313,3037,3079,2877,3308,3507,6471,6062,5904,2884,2117,2564,1743,760,11145,3.9,5.4,19.8,15.0,17.8,16.3,10.9,7.7,2.2,1.0,39379,52350,0.19648706563706564
30285,91740,26745,1177,1717,1786,1823,1857,3378,3302,4190,1990,1609,1911,1371,634,8383,5.1,2.0,7.8,7.7,11.9,22.0,14.1,17.4,8.9,3.1,67063,78637,0.18549355368766987
30286,91741,25693,1233,1710,1744,1962,1905,2419,2895,4142,2156,1552,2281,1072,622,8745,2.9,4.3,5.9,7.3,8.5,14.7,14.3,19.7,9.3,13.1,84957,112376,0.19010891189093668
30287,91744,87337,6072,6417,6643,6758,7424,13926,11269,11059,5238,4134,4782,2700,915,18358,3.8,4.1,9.5,8.9,14.1,23.1,14.4,15.4,4.4,2.2,58641,69490,0.18379976972619005
30288,91745,55184,2681,3111,3659,3248,3566,6868,7347,7545,3931,3875,5106,3162,1085,16030,3.3,2.5,5.8,6.6,12.2,18.0,15.5,18.8,9.4,8.0,78000,96382,0.18444677277233176
30289,91746,30034,1866,1744,2427,2427,2446,4237,4240,3866,1512,1440,2308,1124,397,6607,4.3,6.2,6.5,7.7,15.5,23.7,14.3,15.4,4.9,1.7,60178,68646,0.1833184599877606
30290,91748,46732,2213,2288,2192,2896,3350,6891,6053,6733,3238,3525,4370,2075,908,13476,5.7,4.1,9.5,8.7,13.9,18.7,12.5,14.9,6.4,5.6,58502,81063,0.2053677287149657
30291,91750,34052,1895,1831,1977,2251,2507,3733,3824,4737,2264,2800,3426,1964,843,11888,4.0,4.1,8.5,6.7,10.2,16.3,13.4,20.1,8.9,7.9,75635,95051,0.19492862390505794
30293,91754,34009,1908,1498,1968,1719,2240,4302,4466,4680,2586,1931,3241,2393,1077,10669,6.5,6.7,9.7,9.8,12.6,15.0,13.5,13.2,6.4,6.6,57463,79312,0.2184399677679291
30294,91755,27076,1004,979,1480,1294,1625,3614,3615,4303,2087,1852,2455,1793,975,8437,6.4,7.9,12.5,10.3,13.7,14.2,9.8,14.2,6.3,4.7,49220,69773,0.22411639866724614
30299,91764,53820,3946,4472,4389,3825,4533,9334,8156,6368,2712,2034,2289,1331,431,15163,6.9,4.5,9.8,10.5,16.9,22.7,12.7,12.7,2.1,1.3,50902,59755,0.1886825074577394
30300,91765,47598,2026,2206,3123,3256,3344,6358,5887,7387,4071,3339,4291,1579,731,14978,2.9,2.4,4.8,8.3,9.0,14.5,13.1,22.8,10.7,11.4,90522,108161,0.18085236151893697
30301,91766,72026,5310,5776,5835,6127,7132,10695,10189,8444,4121,3079,3080,1669,569,18002,7.1,4.3,10.5,10.4,17.8,19.4,13.7,10.7,3.6,2.5,49895,64011,0.19997323932377215
30302,91767,49099,3619,3547,3223,3701,4597,7535,6662,6677,2292,2176,2741,1545,784,14060,6.6,5.8,12.1,11.0,13.9,19.6,13.7,11.0,4.5,1.6,50551,62685,0.20221212984054668
30303,91768,36444,2624,2312,2293,4926,3946,4970,4370,4029,2026,1609,1711,1058,570,8220,6.1,5.6,14.3,13.3,14.9,20.4,12.1,9.1,3.1,1.2,44859,57494,0.1993086228287841
30304,91770,63758,3151,3121,3722,4096,4144,8319,8665,10124,4631,3792,5396,2936,1661,17085,5.3,6.4,14.7,12.2,13.2,19.8,10.8,10.7,4.5,2.4,46729,61564,0.20963833523933997
30305,91773,34107,1648,1803,1876,2387,2631,3800,4056,5445,1931,2516,3533,1549,932,12074,3.9,2.5,7.5,7.7,10.3,16.0,13.8,22.0,7.6,8.7,77742,96506,0.18913404455253988
30306,91775,25486,1295,1637,1585,1308,1014,3082,3877,3655,1665,1824,2231,1501,812,8270,4.3,3.8,7.8,7.2,11.1,15.1,14.4,16.7,10.8,8.9,75876,97976,0.19823059449276975
30307,91776,38127,1704,1742,2139,1943,2755,5349,5381,6602,3028,2251,2703,1791,739,11544,4.7,4.2,13.0,13.9,17.3,16.5,11.6,11.3,4.8,2.7,46746,63322,0.2052395249743549
30308,91780,35280,1993,2001,2041,2340,2024,3872,5045,5529,2763,2325,2943,1790,614,11417,4.9,3.8,10.8,7.9,12.1,18.0,13.2,16.5,6.8,6.0,63410,81483,0.20286568755370268
30310,91786,52365,3930,3420,3251,3465,4140,8635,6942,6764,3358,2192,3362,1943,963,19061,9.0,5.5,9.3,12.2,13.4,20.7,11.3,11.1,5.6,2.0,50395,62333,0.21044547083416273
30311,91789,43805,1512,1965,2868,3339,3468,4828,5070,6859,3533,3753,4307,1602,701,12853,4.4,1.9,4.4,5.7,9.7,14.6,13.0,21.6,12.9,11.7,93301,111741,0.18004486494364552
30312,91790,46566,2303,2708,3743,3529,3879,6264,6155,6318,3353,2461,2932,1848,1073,12459,2.5,2.4,7.8,8.3,13.1,19.9,17.0,19.6,6.0,3.4,70888,79988,0.17578355757690606
30313,91791,33247,2055,1990,2163,2469,2344,4352,4169,4365,2387,2007,2387,1505,1054,10010,4.7,3.8,9.5,7.5,9.9,17.2,14.2,17.9,9.5,5.9,71528,89802,0.1975261163976971
30314,91792,30063,1902,1637,1778,1995,1853,5073,3894,4131,1966,1918,2460,1050,406,8786,3.9,2.7,6.3,9.0,14.4,21.2,14.7,17.1,7.3,3.3,66489,78923,0.18255714561980277
30315,91801,54565,3083,2663,2304,2995,4158,8956,7168,8041,4344,3170,3947,2319,1417,19503,7.3,5.2,13.4,10.1,11.3,18.4,11.6,13.1,5.2,4.4,51793,69081,0.21714217146640186
30316,91803,30118,1205,1530,1743,1604,1874,4484,4209,4646,2395,1865,2653,1244,666,9641,5.5,5.9,10.8,8.3,13.1,17.6,13.3,16.2,5.1,4.2,56928,73723,0.20531605234763844
30529,92397,4753,423,366,337,356,193,648,579,721,346,157,508,86,33,1888,12.0,2.7,12.2,6.9,14.2,17.7,11.2,12.2,6.3,4.6,53095,68638,0.22361204502265752
30584,92614,26046,1542,2097,1571,1399,1530,4377,4004,3828,1479,1520,1724,672,303,9736,4.1,4.1,3.6,4.8,7.9,13.1,14.9,24.9,10.9,11.7,93918,111759,0.17693209996125533
30592,92629,26680,1155,1352,1327,1184,1230,3456,3306,4065,2526,2037,2754,1431,857,11534,2.6,2.5,6.9,6.0,9.7,16.7,10.8,19.0,9.2,16.7,87906,126925,0.18906599373310692
30615,92683,91734,4411,4592,5994,6057,6551,11988,12380,13771,6059,5213,7806,5177,1735,27337,5.1,6.2,11.8,9.5,14.3,16.3,11.7,13.6,6.8,4.7,53378,74202,0.21350799218231953
30636,92821,37615,2231,2283,2370,2367,2972,5009,5230,5252,2475,2290,2722,1541,873,13230,2.6,2.2,7.2,6.1,10.1,16.8,15.2,21.1,10.2,8.5,81477,98775,0.180771467556898
30656,92880,63696,5986,6180,4680,4790,3921,9049,11172,7487,3225,2484,2939,1459,324,15889,2.0,2.2,4.7,5.0,8.1,13.2,13.9,27.2,16.3,7.5,101425,107998,0.16113226571767497
30688,93105,25632,1169,1050,1295,1341,1497,2937,2908,3492,1757,2126,2734,1811,1515,10806,3.6,4.7,6.1,7.2,11.2,12.8,12.1,16.9,9.3,16.1,85948,114283,0.19972800079590114
30804,93510,7462,376,388,421,440,633,516,801,1488,865,474,736,300,24,2520,4.0,2.3,6.4,4.6,10.0,14.4,16.3,19.6,12.9,9.4,86944,102268,0.18188903334353015
30821,93532,2557,79,87,201,254,87,277,236,540,286,177,219,75,39,962,16.4,1.0,6.3,12.7,7.5,20.7,13.2,15.0,5.0,2.2,55000,67607,0.214299098961515
30822,93534,38431,3249,2346,2589,2573,3532,5790,4309,4924,2014,2213,2842,1493,557,14056,15.6,9.5,13.3,11.1,16.2,16.3,8.5,6.4,2.5,0.7,35434,45556,0.22808001304560518
30823,93535,73979,6738,6759,7084,6977,5305,9615,9453,8941,3987,3045,3859,1710,506,20901,14.2,5.2,11.0,12.3,16.9,18.9,10.9,7.5,1.9,1.2,40588,50801,0.21302520365341893
30824,93536,71254,4195,4562,5267,5682,4322,10542,10119,10831,4905,3860,4065,1891,1013,20910,8.7,3.6,5.7,7.0,11.1,17.1,16.2,19.3,5.9,5.4,70195,81702,0.19755226743820367
30826,93543,13720,1101,882,1386,1200,1185,1604,1511,1965,1083,468,876,333,126,3599,5.9,5.4,7.6,10.0,18.4,19.3,16.5,9.8,4.9,2.2,53241,65603,0.19337638974675722
30831,93550,75088,7804,6599,6961,6637,6333,10229,9290,9345,3973,2669,2853,1744,651,20648,11.6,8.4,14.5,11.5,16.2,16.6,11.4,6.7,2.1,1.0,37669,48886,0.21586525692103378
30832,93551,50100,2972,3376,3707,4111,3137,5422,6128,8499,3954,2746,3584,1755,709,15845,3.0,2.8,6.3,5.1,11.0,16.4,15.8,21.1,12.2,6.3,84486,96781,0.17777042404723564
30833,93552,42630,3634,3970,4254,4146,3440,5362,5877,5835,2039,1475,1653,758,187,9937,3.3,4.3,10.9,12.2,14.9,23.5,16.1,11.3,2.5,1.0,54132,63523,0.17621267960061693
30841,93563,387,0,0,0,13,29,48,57,48,84,27,50,17,14,137,6.6,17.5,12.4,2.9,0.0,20.4,16.1,10.2,3.6,10.2,57417,76869,0.23644387686062243
30842,93591,6781,376,650,660,761,252,774,917,1003,335,235,607,185,26,1916,10.8,6.2,10.1,14.0,25.2,18.1,4.5,8.8,1.0,1.4,40805,49601,0.2035718934309539
