Gene Id,Disease Id
ENSG00000000971,MESH:D056486
ENSG00000001167,MESH:D011297
ENSG00000004455,MESH:D009336
ENSG00000005421,MESH:D007859
ENSG00000005844,MESH:D056486
ENSG00000006128,MESH:D008569
ENSG00000008405,MESH:D007249
ENSG00000011426,MESH:D006965
ENSG00000012660,MESH:D009336
ENSG00000012779,MESH:D007249
ENSG00000013810,MESH:D008569
ENSG00000014216,MESH:D007674
ENSG00000016391,MESH:D007249
ENSG00000018625,MESH:D007249
ENSG00000021645,MESH:D011297
ENSG00000035403,MESH:D009336
ENSG00000036473,MESH:D004487
ENSG00000040275,MESH:D011297
ENSG00000043591,MESH:D056486
ENSG00000049239,MESH:D007249
ENSG00000055118,MESH:D001281
ENSG00000057657,MESH:D056486
ENSG00000059378,MESH:D009336
ENSG00000064042,MESH:D009336
ENSG00000065717,MESH:D009336
ENSG00000066279,MESH:D008113
ENSG00000067064,MESH:D007674
ENSG00000067141,MESH:D009336
ENSG00000070501,MESH:D009336
ENSG00000072571,MESH:D015431
ENSG00000072786,MESH:D009336
ENSG00000073712,MESH:D056486
ENSG00000073756,MESH:D006505
ENSG00000074803,MESH:D009336
ENSG00000075239,MESH:D015431
ENSG00000076382,MESH:D008113
ENSG00000080986,MESH:D056486
ENSG00000082641,MESH:D007249
ENSG00000084754,MESH:D006529
ENSG00000085999,MESH:D007249
ENSG00000087074,MESH:D006973
ENSG00000087191,MESH:D056486
ENSG00000087510,MESH:D011297
ENSG00000089327,MESH:D009336
ENSG00000090238,MESH:D056486
ENSG00000090266,MESH:D056486
ENSG00000091129,MESH:D011297
ENSG00000091140,MESH:D009410
ENSG00000091831,MESH:D000014
ENSG00000092964,MESH:D009336
ENSG00000094963,MESH:D056486
ENSG00000095585,MESH:D048629
ENSG00000097021,MESH:D009336
ENSG00000099219,MESH:D056486
ENSG00000100075,MESH:D011297
ENSG00000100100,MESH:D009336
ENSG00000100297,MESH:D056486
ENSG00000100504,MESH:D007249
ENSG00000100519,MESH:D056486
ENSG00000100983,MESH:D011297
ENSG00000100985,MESH:D006505
ENSG00000101076,MESH:D008107
ENSG00000101160,MESH:D009336
ENSG00000101670,MESH:D056486
ENSG00000101846,MESH:D056486
ENSG00000101856,MESH:D056486
ENSG00000101966,MESH:D011507
ENSG00000102081,MESH:D009336
ENSG00000102409,MESH:D015431
ENSG00000102804,MESH:D011041
ENSG00000103034,MESH:D007249
ENSG00000103257,MESH:D015431
ENSG00000103375,MESH:D056486
ENSG00000103423,MESH:D056486
ENSG00000104549,MESH:D009336
ENSG00000104738,MESH:D007249
ENSG00000104774,MESH:D056486
ENSG00000104825,MESH:D009336
ENSG00000105011,MESH:D009336
ENSG00000105327,MESH:D064420
ENSG00000105707,MESH:D008064
ENSG00000105971,MESH:D005355
ENSG00000106049,MESH:D056486
ENSG00000106588,MESH:D006965
ENSG00000107485,MESH:D008113
ENSG00000107554,MESH:D009336
ENSG00000108479,MESH:D056486
ENSG00000109424,MESH:D009336
ENSG00000109458,MESH:D056486
ENSG00000109472,MESH:D007249
ENSG00000109654,MESH:D009336
ENSG00000109819,MESH:D058186
ENSG00000110321,MESH:D056486
ENSG00000110324,MESH:D007249
ENSG00000110367,MESH:D056486
ENSG00000110881,MESH:D009336
ENSG00000110931,MESH:D056486
ENSG00000111087,MESH:D015431
ENSG00000111145,MESH:D009336
ENSG00000111339,MESH:D009336
ENSG00000111713,MESH:D009336
ENSG00000112062,MESH:D001943
ENSG00000112110,MESH:D009336
ENSG00000112237,MESH:D009336
ENSG00000112972,MESH:D008114
ENSG00000113368,MESH:D056486
ENSG00000113578,MESH:D004487
ENSG00000113758,MESH:D008569
ENSG00000113916,MESH:D008175
ENSG00000114026,MESH:D007674
ENSG00000114268,MESH:D009336
ENSG00000114573,MESH:D011297
ENSG00000115226,MESH:D008064
ENSG00000115361,MESH:D005355
ENSG00000115461,MESH:D009369
ENSG00000115548,MESH:D009336
ENSG00000116005,MESH:D009336
ENSG00000116649,MESH:D005234
ENSG00000116701,MESH:D005355
ENSG00000116729,MESH:D011297
ENSG00000116833,MESH:D009336
ENSG00000117139,MESH:D011297
ENSG00000117395,MESH:D056486
ENSG00000117480,MESH:D015431
ENSG00000118520,MESH:D006470
ENSG00000118804,MESH:D009336
ENSG00000119630,MESH:D015431
ENSG00000119729,MESH:D006965
ENSG00000120875,MESH:D008175
ENSG00000120885,MESH:D001943
ENSG00000121440,MESH:D056486
ENSG00000121671,MESH:D056486
ENSG00000121774,MESH:D011297
ENSG00000122787,MESH:D056486
ENSG00000122884,MESH:D009410
ENSG00000122952,MESH:D007249
ENSG00000123191,MESH:D009336
ENSG00000123453,MESH:D009336
ENSG00000123999,MESH:D011297
ENSG00000124107,MESH:D007249
ENSG00000124212,MESH:D015431
ENSG00000124614,MESH:D056486
ENSG00000124762,MESH:D009101
ENSG00000124802,MESH:D056486
ENSG00000125384,MESH:D009336
ENSG00000125657,MESH:D009336
ENSG00000125691,MESH:D056486
ENSG00000125810,MESH:D011297
ENSG00000126432,MESH:D009336
ENSG00000126458,MESH:D011297
ENSG00000127083,MESH:D009336
ENSG00000127914,MESH:D009336
ENSG00000127920,MESH:D056486
ENSG00000128918,MESH:D005355
ENSG00000128944,MESH:D009336
ENSG00000129351,MESH:D056486
ENSG00000129514,MESH:D007249
ENSG00000130508,MESH:D009336
ENSG00000130779,MESH:D056486
ENSG00000130821,MESH:D009336
ENSG00000131669,MESH:D015431
ENSG00000131711,MESH:D007859
ENSG00000132326,MESH:D008113
ENSG00000132855,MESH:D056486
ENSG00000133315,MESH:D009336
ENSG00000133639,MESH:D008113
ENSG00000133703,MESH:D008175
ENSG00000133794,MESH:D006965
ENSG00000134201,MESH:D009336
ENSG00000134240,MESH:D003072
ENSG00000134259,MESH:D001919
ENSG00000134333,MESH:D008569
ENSG00000134375,MESH:D006965
ENSG00000134480,MESH:D056486
ENSG00000134508,MESH:D011297
ENSG00000134574,MESH:D009336
ENSG00000135046,MESH:D008175
ENSG00000135048,MESH:D009336
ENSG00000135074,MESH:D056486
ENSG00000135269,MESH:D007249
ENSG00000135862,MESH:D056486
ENSG00000135929,MESH:D015431
ENSG00000136108,MESH:D056486
ENSG00000136450,MESH:D056486
ENSG00000136869,MESH:D006529
ENSG00000136997,MESH:D058186
ENSG00000137124,MESH:D056486
ENSG00000137275,MESH:D056486
ENSG00000137364,MESH:D009336
ENSG00000137486,MESH:D009336
ENSG00000137710,MESH:D056486
ENSG00000137834,MESH:D056486
ENSG00000137962,MESH:D056486
ENSG00000138496,MESH:D009336
ENSG00000138668,MESH:D011297
ENSG00000139112,MESH:D007249
ENSG00000139209,MESH:D056486
ENSG00000139219,MESH:D007674
ENSG00000139531,MESH:D009336
ENSG00000140092,MESH:D056486
ENSG00000140263,MESH:D007249
ENSG00000140396,MESH:D007249
ENSG00000140937,MESH:D007249
ENSG00000141433,MESH:D009336
ENSG00000141505,MESH:D009336
ENSG00000142089,MESH:D007249
ENSG00000142192,MESH:D007249
ENSG00000142856,MESH:D015431
ENSG00000143369,MESH:D008113
ENSG00000144381,MESH:D004487
ENSG00000144554,MESH:D056486
ENSG00000144824,MESH:D007249
ENSG00000145050,MESH:D007249
ENSG00000145358,MESH:D009336
ENSG00000145545,MESH:D008113
ENSG00000145632,MESH:D002471
ENSG00000145649,MESH:D056486
ENSG00000145777,MESH:D006965
ENSG00000146733,MESH:D009336
ENSG00000147889,MESH:D011230
ENSG00000148795,MESH:D015431
ENSG00000149948,MESH:D009336
ENSG00000150540,MESH:D007249
ENSG00000150782,MESH:D015431
ENSG00000151224,MESH:D006965
ENSG00000152137,MESH:D011297
ENSG00000154188,MESH:D007249
ENSG00000154721,MESH:D006965
ENSG00000154767,MESH:D056486
ENSG00000155380,MESH:D015431
ENSG00000156113,MESH:D009336
ENSG00000157087,MESH:D056486
ENSG00000157404,MESH:D009336
ENSG00000157514,MESH:D011297
ENSG00000158125,MESH:D007333
ENSG00000158373,MESH:D007249
ENSG00000158859,MESH:D007249
ENSG00000159251,MESH:D008569
ENSG00000159377,MESH:D005234
ENSG00000159674,MESH:D005355
ENSG00000159899,MESH:D009336
ENSG00000159921,MESH:D009336
ENSG00000160211,MESH:D058186
ENSG00000160307,MESH:D015431
ENSG00000160801,MESH:D006965
ENSG00000160867,MESH:D009336
ENSG00000161270,MESH:D011507
ENSG00000161542,MESH:D056486
ENSG00000161980,MESH:D056486
ENSG00000162551,MESH:D009410
ENSG00000162772,MESH:D006529
ENSG00000163485,MESH:D056486
ENSG00000163541,MESH:D005234
ENSG00000163788,MESH:D011297
ENSG00000164331,MESH:D009336
ENSG00000164733,MESH:D056486
ENSG00000164985,MESH:D009336
ENSG00000165168,MESH:D051437
ENSG00000165507,MESH:D056486
ENSG00000165916,MESH:D056486
ENSG00000166033,MESH:D006965
ENSG00000166128,MESH:D009336
ENSG00000166147,MESH:D011297
ENSG00000166441,MESH:D009336
ENSG00000166681,MESH:D009336
ENSG00000166803,MESH:D056486
ENSG00000166900,MESH:D007249
ENSG00000167165,MESH:D011230
ENSG00000167325,MESH:D007249
ENSG00000167701,MESH:D005234
ENSG00000167996,MESH:D007674
ENSG00000168028,MESH:D056486
ENSG00000168393,MESH:D056486
ENSG00000168646,MESH:D056486
ENSG00000169252,MESH:D009203
ENSG00000169554,MESH:D011297
ENSG00000169604,MESH:D056486
ENSG00000169906,MESH:D007249
ENSG00000170099,MESH:D056486
ENSG00000170214,MESH:D009336
ENSG00000170312,MESH:D008175
ENSG00000170425,MESH:D007249
ENSG00000170458,MESH:D009410
ENSG00000170525,MESH:D015431
ENSG00000171119,MESH:D009336
ENSG00000171557,MESH:D056486
ENSG00000171720,MESH:D009336
ENSG00000171723,MESH:D056486
ENSG00000172037,MESH:D056486
ENSG00000172071,MESH:D056486
ENSG00000172831,MESH:D005355
ENSG00000173227,MESH:D009336
ENSG00000173334,MESH:D048629
ENSG00000173369,MESH:D007674
ENSG00000173599,MESH:D007249
ENSG00000173726,MESH:D056486
ENSG00000173786,MESH:D011297
ENSG00000174175,MESH:D015431
ENSG00000174748,MESH:D009336
ENSG00000175592,MESH:D006965
ENSG00000175793,MESH:D009336
ENSG00000176014,MESH:D009336
ENSG00000176788,MESH:D056486
ENSG00000177885,MESH:D056486
ENSG00000181061,MESH:D056486
ENSG00000181163,MESH:D007674
ENSG00000182670,MESH:D009336
ENSG00000182704,MESH:D009336
ENSG00000184445,MESH:D056486
ENSG00000184545,MESH:D009336
ENSG00000184588,MESH:D056486
ENSG00000186283,MESH:D009336
ENSG00000186834,MESH:D056486
ENSG00000187097,MESH:D015431
ENSG00000188153,MESH:D056486
ENSG00000188313,MESH:D009336
ENSG00000188486,MESH:D014839
ENSG00000196230,MESH:D009336
ENSG00000196352,MESH:D011297
ENSG00000196396,MESH:D007249
ENSG00000196639,MESH:D056486
ENSG00000196689,MESH:D007249
ENSG00000196878,MESH:D015431
ENSG00000196923,MESH:D009336
ENSG00000197299,MESH:D048629
ENSG00000197406,MESH:D056486
ENSG00000197594,MESH:D009336
ENSG00000197747,MESH:D015431
ENSG00000198130,MESH:D056486
ENSG00000198189,MESH:D056486
ENSG00000198431,MESH:D005234
ENSG00000198900,MESH:D009336
ENSG00000203859,MESH:D006529
ENSG00000203883,MESH:D009336
ENSG00000204435,MESH:D056486
ENSG00000221968,MESH:D007249
ENSG00000227507,MESH:D056486
ENSG00000242515,MESH:D009336
ENSG00000256525,MESH:D056486
ENSG00000264364,MESH:D056486